year,month,date,series,value
1959,10,1959-10-01,Metals And Minerals Closing Quotations,683.35
1959,10,1959-10-01,Utilities Closing Quotations,857.23
1959,10,1959-10-01,Paper And Forest Products Closing Quotations,835.81
1959,10,1959-10-01,Merchandising Closing Quotations,379.19
1959,10,1959-10-01,Financial Services Closing Quotations,447.25
1959,10,1959-10-01,Gold And Silver Closing Quotations,313.53
1959,11,1959-11-01,Oil And Gas Closing Quotations,386.06
1959,11,1959-11-01,Metals And Minerals Closing Quotations,685.44
1959,11,1959-11-01,Utilities Closing Quotations,870.59
1959,11,1959-11-01,Paper And Forest Products Closing Quotations,861.39
1959,11,1959-11-01,Merchandising Closing Quotations,387.19
1959,11,1959-11-01,Financial Services Closing Quotations,442.86
1959,11,1959-11-01,Gold And Silver Closing Quotations,326.55
1959,12,1959-12-01,Oil And Gas Closing Quotations,407.06
1959,12,1959-12-01,Metals And Minerals Closing Quotations,722.57
1959,12,1959-12-01,Utilities Closing Quotations,880.19
1959,12,1959-12-01,Paper And Forest Products Closing Quotations,896.95
1959,12,1959-12-01,Merchandising Closing Quotations,383.23
1959,12,1959-12-01,Financial Services Closing Quotations,447.82
1959,12,1959-12-01,Gold And Silver Closing Quotations,342.44
1960,1,1960-01-01,Oil And Gas Closing Quotations,387.25
1960,1,1960-01-01,Metals And Minerals Closing Quotations,687.48
1960,1,1960-01-01,Utilities Closing Quotations,871.33
1960,1,1960-01-01,Paper And Forest Products Closing Quotations,824.91
1960,1,1960-01-01,Merchandising Closing Quotations,365.01
1960,1,1960-01-01,Financial Services Closing Quotations,421.79
1960,1,1960-01-01,Gold And Silver Closing Quotations,335.98
1960,2,1960-02-01,Oil And Gas Closing Quotations,358.77
1960,2,1960-02-01,Metals And Minerals Closing Quotations,677.61
1960,2,1960-02-01,Utilities Closing Quotations,872.81
1960,2,1960-02-01,Paper And Forest Products Closing Quotations,803.67
1960,2,1960-02-01,Merchandising Closing Quotations,343.41
1960,2,1960-02-01,Financial Services Closing Quotations,403.55
1960,2,1960-02-01,Gold And Silver Closing Quotations,349.72
1960,3,1960-03-01,Oil And Gas Closing Quotations,369.14
1960,3,1960-03-01,Metals And Minerals Closing Quotations,675.54
1960,3,1960-03-01,Utilities Closing Quotations,883.8
1960,3,1960-03-01,Paper And Forest Products Closing Quotations,801.69
1960,3,1960-03-01,Merchandising Closing Quotations,349.37
1960,3,1960-03-01,Financial Services Closing Quotations,398.39
1960,3,1960-03-01,Gold And Silver Closing Quotations,361.68
1960,4,1960-04-01,Oil And Gas Closing Quotations,340.08
1960,4,1960-04-01,Metals And Minerals Closing Quotations,660.43
1960,4,1960-04-01,Utilities Closing Quotations,888.07
1960,4,1960-04-01,Paper And Forest Products Closing Quotations,798.09
1960,4,1960-04-01,Merchandising Closing Quotations,360.99
1960,4,1960-04-01,Financial Services Closing Quotations,391.85
1960,4,1960-04-01,Gold And Silver Closing Quotations,291.57
1960,5,1960-05-01,Oil And Gas Closing Quotations,338.1
1960,5,1960-05-01,Metals And Minerals Closing Quotations,704.42
1960,5,1960-05-01,Utilities Closing Quotations,892.5
1960,5,1960-05-01,Paper And Forest Products Closing Quotations,850.6
1960,5,1960-05-01,Merchandising Closing Quotations,359.27
1960,5,1960-05-01,Financial Services Closing Quotations,408.08
1960,5,1960-05-01,Gold And Silver Closing Quotations,270.84
1960,6,1960-06-01,Oil And Gas Closing Quotations,311.23
1960,6,1960-06-01,Metals And Minerals Closing Quotations,693.73
1960,6,1960-06-01,Utilities Closing Quotations,891.22
1960,6,1960-06-01,Paper And Forest Products Closing Quotations,793.91
1960,6,1960-06-01,Merchandising Closing Quotations,359.4
1960,6,1960-06-01,Financial Services Closing Quotations,406.68
1960,6,1960-06-01,Gold And Silver Closing Quotations,261.86
1960,7,1960-07-01,Oil And Gas Closing Quotations,311.21
1960,7,1960-07-01,Metals And Minerals Closing Quotations,664.61
1960,7,1960-07-01,Utilities Closing Quotations,903.69
1960,7,1960-07-01,Paper And Forest Products Closing Quotations,770.35
1960,7,1960-07-01,Merchandising Closing Quotations,366.8
1960,7,1960-07-01,Financial Services Closing Quotations,400.45
1960,7,1960-07-01,Gold And Silver Closing Quotations,270.41
1960,8,1960-08-01,Oil And Gas Closing Quotations,350.09
1960,8,1960-08-01,Metals And Minerals Closing Quotations,700.64
1960,8,1960-08-01,Utilities Closing Quotations,946.88
1960,8,1960-08-01,Paper And Forest Products Closing Quotations,807.25
1960,8,1960-08-01,Merchandising Closing Quotations,377.2
1960,8,1960-08-01,Financial Services Closing Quotations,440.73
1960,8,1960-08-01,Gold And Silver Closing Quotations,298.94
1960,9,1960-09-01,Oil And Gas Closing Quotations,334.83
1960,9,1960-09-01,Metals And Minerals Closing Quotations,643.84
1960,9,1960-09-01,Utilities Closing Quotations,930.58
1960,9,1960-09-01,Paper And Forest Products Closing Quotations,764.35
1960,9,1960-09-01,Merchandising Closing Quotations,366.24
1960,9,1960-09-01,Financial Services Closing Quotations,414.64
1960,9,1960-09-01,Gold And Silver Closing Quotations,314.29
1960,10,1960-10-01,Oil And Gas Closing Quotations,322.64
1960,10,1960-10-01,Metals And Minerals Closing Quotations,658.95
1960,10,1960-10-01,Utilities Closing Quotations,920.87
1960,10,1960-10-01,Paper And Forest Products Closing Quotations,758.06
1960,10,1960-10-01,Merchandising Closing Quotations,367.3
1960,10,1960-10-01,Financial Services Closing Quotations,410.11
1960,10,1960-10-01,Gold And Silver Closing Quotations,361.29
1960,11,1960-11-01,Oil And Gas Closing Quotations,329.47
1960,11,1960-11-01,Metals And Minerals Closing Quotations,700.89
1960,11,1960-11-01,Utilities Closing Quotations,943.53
1960,11,1960-11-01,Paper And Forest Products Closing Quotations,770.8
1960,11,1960-11-01,Merchandising Closing Quotations,369.11
1960,11,1960-11-01,Financial Services Closing Quotations,425.5
1960,11,1960-11-01,Gold And Silver Closing Quotations,349.97
1960,12,1960-12-01,Oil And Gas Closing Quotations,350.31
1960,12,1960-12-01,Metals And Minerals Closing Quotations,733.88
1960,12,1960-12-01,Utilities Closing Quotations,974.79
1960,12,1960-12-01,Paper And Forest Products Closing Quotations,824.11
1960,12,1960-12-01,Merchandising Closing Quotations,400.58
1960,12,1960-12-01,Financial Services Closing Quotations,459.22
1960,12,1960-12-01,Gold And Silver Closing Quotations,336.25
1961,1,1961-01-01,Oil And Gas Closing Quotations,376.67
1961,1,1961-01-01,Metals And Minerals Closing Quotations,789.17
1961,1,1961-01-01,Utilities Closing Quotations,1004.25
1961,1,1961-01-01,Paper And Forest Products Closing Quotations,857.35
1961,1,1961-01-01,Merchandising Closing Quotations,432.6
1961,1,1961-01-01,Financial Services Closing Quotations,475.73
1961,1,1961-01-01,Gold And Silver Closing Quotations,337.66
1961,2,1961-02-01,Oil And Gas Closing Quotations,410
1961,2,1961-02-01,Metals And Minerals Closing Quotations,805.05
1961,2,1961-02-01,Utilities Closing Quotations,1033.24
1961,2,1961-02-01,Paper And Forest Products Closing Quotations,913.14
1961,2,1961-02-01,Merchandising Closing Quotations,428.68
1961,2,1961-02-01,Financial Services Closing Quotations,485.46
